Date,Team1,Team1_Runs,Team2,Team2_Runs
"Friday, April 26, 2024",Cleveland Guardians,2,Atlanta Braves,6
"Friday, April 26, 2024",Oakland Athletics,3,Baltimore Orioles,2
"Friday, April 26, 2024",Chicago Cubs,7,Boston Red Sox,1
"Friday, April 26, 2024",Tampa Bay Rays,4,Chicago White Sox,9
"Friday, April 26, 2024",Kansas City Royals,8,Detroit Tigers,0
"Friday, April 26, 2024",Washington Nationals,3,Miami Marlins,1
"Friday, April 26, 2024",New York Yankees,6,Milwaukee Brewers,7
"Friday, April 26, 2024",St. Louis Cardinals,4,New York Mets,2
"Friday, April 26, 2024",Philadelphia Phillies,9,San Diego Padres,3
"Friday, April 26, 2024",Arizona D'Backs,1,Seattle Mariners,6
"Friday, April 26, 2024",Pittsburgh Pirates,0,San Francisco Giants,3
"Friday, April 26, 2024",Cincinnati Reds,1,Texas Rangers,2
"Friday, April 26, 2024",Los Angeles Dodgers,12,Toronto Blue Jays,2
"Saturday, April 27, 2024",Minnesota Twins,16,Los Angeles Angels,5
"Saturday, April 27, 2024",Cleveland Guardians,4,Atlanta Braves,2
"Saturday, April 27, 2024",Oakland Athletics,0,Baltimore Orioles,7
"Saturday, April 27, 2024",Chicago Cubs,0,Boston Red Sox,17
"Saturday, April 27, 2024",Tampa Bay Rays,7,Chicago White Sox,8
"Saturday, April 27, 2024",Houston Astros,12,Colorado Rockies,4
"Saturday, April 27, 2024",Kansas City Royals,5,Detroit Tigers,6
"Saturday, April 27, 2024",Washington Nationals,11,Miami Marlins,4
"Saturday, April 27, 2024",New York Yankees,15,Milwaukee Brewers,3
"Saturday, April 27, 2024",St. Louis Cardinals,7,New York Mets,4
"Saturday, April 27, 2024",Philadelphia Phillies,5,San Diego Padres,1
"Saturday, April 27, 2024",Arizona D'Backs,1,Seattle Mariners,3
"Saturday, April 27, 2024",Pittsburgh Pirates,4,San Francisco Giants,3
"Saturday, April 27, 2024",Cincinnati Reds,8,Texas Rangers,4
"Saturday, April 27, 2024",Los Angeles Dodgers,4,Toronto Blue Jays,2
"Sunday, April 28, 2024",Minnesota Twins,11,Los Angeles Angels,5
"Sunday, April 28, 2024",Cleveland Guardians,3,Atlanta Braves,4
"Sunday, April 28, 2024",Oakland Athletics,7,Baltimore Orioles,6
"Sunday, April 28, 2024",Chicago Cubs,4,Boston Red Sox,5
"Sunday, April 28, 2024",Tampa Bay Rays,2,Chicago White Sox,4
"Sunday, April 28, 2024",Houston Astros,8,Colorado Rockies,2
"Sunday, April 28, 2024",Kansas City Royals,1,Detroit Tigers,4
"Sunday, April 28, 2024",Washington Nationals,12,Miami Marlins,9
"Sunday, April 28, 2024",New York Yankees,15,Milwaukee Brewers,5
"Sunday, April 28, 2024",St. Louis Cardinals,2,New York Mets,4
"Sunday, April 28, 2024",Philadelphia Phillies,8,San Diego Padres,6
"Sunday, April 28, 2024",Arizona D'Backs,3,Seattle Mariners,2
"Sunday, April 28, 2024",Pittsburgh Pirates,2,San Francisco Giants,3
"Sunday, April 28, 2024",Cincinnati Reds,3,Texas Rangers,4
"Sunday, April 28, 2024",Los Angeles Dodgers,1,Toronto Blue Jays,3
"Monday, April 29, 2024",Philadelphia Phillies,5,Los Angeles Angels,6
"Monday, April 29, 2024",Los Angeles Dodgers,8,Arizona D'Backs,4
"Monday, April 29, 2024",New York Yankees,0,Baltimore Orioles,2
"Monday, April 29, 2024",Minnesota Twins,3,Chicago White Sox,2
"Monday, April 29, 2024",Washington Nationals,7,Miami Marlins,2
"Monday, April 29, 2024",Tampa Bay Rays,1,Milwaukee Brewers,0
"Monday, April 29, 2024",Chicago Cubs,3,New York Mets,1
"Monday, April 29, 2024",Pittsburgh Pirates,1,Oakland Athletics,5
"Monday, April 29, 2024",Cincinnati Reds,5,San Diego Padres,2
"Monday, April 29, 2024",Atlanta Braves,1,Seattle Mariners,2
"Monday, April 29, 2024",Kansas City Royals,5,Toronto Blue Jays,6
"Tuesday, April 30, 2024",Philadelphia Phillies,7,Los Angeles Angels,5
"Tuesday, April 30, 2024",Los Angeles Dodgers,3,Arizona D'Backs,4
"Tuesday, April 30, 2024",New York Yankees,2,Baltimore Orioles,4
"Tuesday, April 30, 2024",San Francisco Giants,0,Boston Red Sox,4
"Tuesday, April 30, 2024",Minnesota Twins,6,Chicago White Sox,5
"Tuesday, April 30, 2024",St. Louis Cardinals,2,Detroit Tigers,1
"Tuesday, April 30, 2024",St. Louis Cardinals,6,Detroit Tigers,11
"Tuesday, April 30, 2024",Cleveland Guardians,9,Houston Astros,10
"Tuesday, April 30, 2024",Colorado Rockies,6,Miami Marlins,7
"Tuesday, April 30, 2024",Tampa Bay Rays,2,Milwaukee Brewers,8
"Tuesday, April 30, 2024",Chicago Cubs,2,New York Mets,4
"Tuesday, April 30, 2024",Pittsburgh Pirates,2,Oakland Athletics,5
"Tuesday, April 30, 2024",Cincinnati Reds,4,San Diego Padres,6
"Tuesday, April 30, 2024",Atlanta Braves,2,Seattle Mariners,3
"Tuesday, April 30, 2024",Washington Nationals,1,Texas Rangers,7
"Tuesday, April 30, 2024",Kansas City Royals,4,Toronto Blue Jays,1
"Wednesday, May 1, 2024",Philadelphia Phillies,2,Los Angeles Angels,1
"Wednesday, May 1, 2024",Los Angeles Dodgers,8,Arizona D'Backs,0
"Wednesday, May 1, 2024",New York Yankees,2,Baltimore Orioles,0
"Wednesday, May 1, 2024",San Francisco Giants,2,Boston Red Sox,6
"Wednesday, May 1, 2024",Minnesota Twins,10,Chicago White Sox,5
"Wednesday, May 1, 2024",St. Louis Cardinals,1,Detroit Tigers,4
"Wednesday, May 1, 2024",Cleveland Guardians,3,Houston Astros,2
"Wednesday, May 1, 2024",Colorado Rockies,1,Miami Marlins,4
"Wednesday, May 1, 2024",Tampa Bay Rays,1,Milwaukee Brewers,7
"Wednesday, May 1, 2024",Chicago Cubs,1,New York Mets,0
"Wednesday, May 1, 2024",Pittsburgh Pirates,0,Oakland Athletics,4
"Wednesday, May 1, 2024",Cincinnati Reds,2,San Diego Padres,6
"Wednesday, May 1, 2024",Atlanta Braves,5,Seattle Mariners,2
"Wednesday, May 1, 2024",Washington Nationals,1,Texas Rangers,0
"Wednesday, May 1, 2024",Kansas City Royals,6,Toronto Blue Jays,1
"Thursday, May 2, 2024",New York Yankees,2,Baltimore Orioles,7
"Thursday, May 2, 2024",San Francisco Giants,3,Boston Red Sox,1
"Thursday, May 2, 2024",Cleveland Guardians,2,Houston Astros,8
"Thursday, May 2, 2024",Colorado Rockies,4,Miami Marlins,5
"Thursday, May 2, 2024",Chicago Cubs,6,New York Mets,7
"Thursday, May 2, 2024",Washington Nationals,0,Texas Rangers,6
"Friday, May 3, 2024",San Diego Padres,7,Arizona D'Backs,1
"Friday, May 3, 2024",Milwaukee Brewers,3,Chicago Cubs,1
"Friday, May 3, 2024",Baltimore Orioles,3,Cincinnati Reds,0
"Friday, May 3, 2024",Los Angeles Angels,6,Cleveland Guardians,0
"Friday, May 3, 2024",Seattle Mariners,3,Houston Astros,5
"Friday, May 3, 2024",Texas Rangers,1,Kansas City Royals,7
"Friday, May 3, 2024",Atlanta Braves,3,Los Angeles Dodgers,4
"Friday, May 3, 2024",Boston Red Sox,2,Minnesota Twins,5
"Friday, May 3, 2024",Detroit Tigers,1,New York Yankees,2
"Friday, May 3, 2024",Miami Marlins,1,Oakland Athletics,3
"Friday, May 3, 2024",San Francisco Giants,3,Philadelphia Phillies,4
"Friday, May 3, 2024",Colorado Rockies,3,Pittsburgh Pirates,2
"Friday, May 3, 2024",Chicago White Sox,0,St. Louis Cardinals,3
"Friday, May 3, 2024",New York Mets,8,Tampa Bay Rays,10
"Friday, May 3, 2024",Toronto Blue Jays,3,Washington Nationals,9
"Saturday, May 4, 2024",San Diego Padres,13,Arizona D'Backs,1
"Saturday, May 4, 2024",Milwaukee Brewers,5,Chicago Cubs,6
"Saturday, May 4, 2024",Baltimore Orioles,2,Cincinnati Reds,1
"Saturday, May 4, 2024",Los Angeles Angels,1,Cleveland Guardians,7
"Saturday, May 4, 2024",Seattle Mariners,5,Houston Astros,0
"Saturday, May 4, 2024",Texas Rangers,15,Kansas City Royals,4
"Saturday, May 4, 2024",Atlanta Braves,2,Los Angeles Dodgers,11
"Saturday, May 4, 2024",Boston Red Sox,1,Minnesota Twins,3
"Saturday, May 4, 2024",Detroit Tigers,3,New York Yankees,5
"Saturday, May 4, 2024",Miami Marlins,4,Oakland Athletics,20
"Saturday, May 4, 2024",San Francisco Giants,3,Philadelphia Phillies,14
"Saturday, May 4, 2024",Colorado Rockies,0,Pittsburgh Pirates,1
"Saturday, May 4, 2024",Chicago White Sox,6,St. Louis Cardinals,5
"Saturday, May 4, 2024",New York Mets,1,Tampa Bay Rays,3
"Saturday, May 4, 2024",Toronto Blue Jays,6,Washington Nationals,3
"Sunday, May 5, 2024",San Diego Padres,4,Arizona D'Backs,11
"Sunday, May 5, 2024",Milwaukee Brewers,0,Chicago Cubs,5
"Sunday, May 5, 2024",Baltimore Orioles,11,Cincinnati Reds,1
"Sunday, May 5, 2024",Los Angeles Angels,1,Cleveland Guardians,4
"Sunday, May 5, 2024",Seattle Mariners,5,Houston Astros,4
"Sunday, May 5, 2024",Texas Rangers,3,Kansas City Royals,2
"Sunday, May 5, 2024",Atlanta Braves,1,Los Angeles Dodgers,5
"Sunday, May 5, 2024",Boston Red Sox,9,Minnesota Twins,2
"Sunday, May 5, 2024",Detroit Tigers,2,New York Yankees,5
"Sunday, May 5, 2024",Miami Marlins,12,Oakland Athletics,3
"Sunday, May 5, 2024",San Francisco Giants,4,Philadelphia Phillies,5
"Sunday, May 5, 2024",Colorado Rockies,3,Pittsburgh Pirates,5
"Sunday, May 5, 2024",Chicago White Sox,5,St. Louis Cardinals,1
"Sunday, May 5, 2024",New York Mets,6,Tampa Bay Rays,7
"Sunday, May 5, 2024",Toronto Blue Jays,8,Washington Nationals,11
"Monday, May 6, 2024",San Diego Padres,6,Chicago Cubs,3
"Monday, May 6, 2024",Detroit Tigers,1,Cleveland Guardians,2
"Monday, May 6, 2024",Milwaukee Brewers,2,Kansas City Royals,3
"Monday, May 6, 2024",Miami Marlins,3,Los Angeles Dodgers,6
"Monday, May 6, 2024",Seattle Mariners,1,Minnesota Twins,3
"Monday, May 6, 2024",Texas Rangers,4,Oakland Athletics,2
"Monday, May 6, 2024",San Francisco Giants,1,Philadelphia Phillies,6
"Monday, May 6, 2024",Los Angeles Angels,1,Pittsburgh Pirates,4
"Monday, May 6, 2024",New York Mets,4,St. Louis Cardinals,3
"Monday, May 6, 2024",Chicago White Sox,2,Tampa Bay Rays,8
"Tuesday, May 7, 2024",Boston Red Sox,2,Atlanta Braves,4
"Tuesday, May 7, 2024",San Diego Padres,2,Chicago Cubs,3
"Tuesday, May 7, 2024",Arizona D'Backs,6,Cincinnati Reds,2
"Tuesday, May 7, 2024",Detroit Tigers,11,Cleveland Guardians,7
"Tuesday, May 7, 2024",San Francisco Giants,5,Colorado Rockies,0
"Tuesday, May 7, 2024",Milwaukee Brewers,6,Kansas City Royals,5
"Tuesday, May 7, 2024",Miami Marlins,2,Los Angeles Dodgers,8
"Tuesday, May 7, 2024",Seattle Mariners,10,Minnesota Twins,6
"Tuesday, May 7, 2024",Houston Astros,3,New York Yankees,10
"Tuesday, May 7, 2024",Texas Rangers,15,Oakland Athletics,8
"Tuesday, May 7, 2024",Toronto Blue Jays,1,Philadelphia Phillies,10
"Tuesday, May 7, 2024",Los Angeles Angels,9,Pittsburgh Pirates,0
"Tuesday, May 7, 2024",New York Mets,7,St. Louis Cardinals,5
"Tuesday, May 7, 2024",Chicago White Sox,1,Tampa Bay Rays,5
"Tuesday, May 7, 2024",Baltimore Orioles,0,Washington Nationals,3
"Wednesday, May 8, 2024",Boston Red Sox,0,Atlanta Braves,5
"Wednesday, May 8, 2024",San Diego Padres,3,Chicago Cubs,0
"Wednesday, May 8, 2024",Arizona D'Backs,4,Cincinnati Reds,3
"Wednesday, May 8, 2024",Detroit Tigers,4,Cleveland Guardians,5
"Wednesday, May 8, 2024",San Francisco Giants,8,Colorado Rockies,6
"Wednesday, May 8, 2024",Milwaukee Brewers,4,Kansas City Royals,6
"Wednesday, May 8, 2024",Miami Marlins,1,Los Angeles Dodgers,3
"Wednesday, May 8, 2024",Seattle Mariners,3,Minnesota Twins,6
"Wednesday, May 8, 2024",Houston Astros,4,New York Yankees,9
"Wednesday, May 8, 2024",Texas Rangers,4,Oakland Athletics,9
"Wednesday, May 8, 2024",Texas Rangers,12,Oakland Athletics,11
"Wednesday, May 8, 2024",Toronto Blue Jays,5,Philadelphia Phillies,3
"Wednesday, May 8, 2024",Los Angeles Angels,5,Pittsburgh Pirates,4
"Wednesday, May 8, 2024",Chicago White Sox,4,Tampa Bay Rays,1
"Wednesday, May 8, 2024",Baltimore Orioles,7,Washington Nationals,6
"Thursday, May 9, 2024",Kansas City Royals,10,Los Angeles Angels,4
"Thursday, May 9, 2024",Cleveland Guardians,2,Chicago White Sox,3
"Thursday, May 9, 2024",Arizona D'Backs,5,Cincinnati Reds,4
"Thursday, May 9, 2024",San Francisco Giants,1,Colorado Rockies,9
"Thursday, May 9, 2024",St. Louis Cardinals,1,Milwaukee Brewers,7
"Thursday, May 9, 2024",Seattle Mariners,1,Minnesota Twins,11
"Thursday, May 9, 2024",Houston Astros,4,New York Yankees,3
"Friday, May 10, 2024",Kansas City Royals,2,Los Angeles Angels,1
"Friday, May 10, 2024",Arizona D'Backs,2,Baltimore Orioles,4
"Friday, May 10, 2024",Washington Nationals,5,Boston Red Sox,1
"Friday, May 10, 2024",Cleveland Guardians,3,Chicago White Sox,6
"Friday, May 10, 2024",Texas Rangers,2,Colorado Rockies,4
"Friday, May 10, 2024",Houston Astros,5,Detroit Tigers,2
"Friday, May 10, 2024",Philadelphia Phillies,8,Miami Marlins,2
"Friday, May 10, 2024",St. Louis Cardinals,2,Milwaukee Brewers,11
"Friday, May 10, 2024",Atlanta Braves,4,New York Mets,2
"Friday, May 10, 2024",Chicago Cubs,7,Pittsburgh Pirates,2
"Friday, May 10, 2024",Los Angeles Dodgers,1,San Diego Padres,2
"Friday, May 10, 2024",Oakland Athletics,1,Seattle Mariners,8
"Friday, May 10, 2024",Cincinnati Reds,4,San Francisco Giants,2
"Friday, May 10, 2024",New York Yankees,2,Tampa Bay Rays,0
"Friday, May 10, 2024",Minnesota Twins,3,Toronto Blue Jays,2
"Saturday, May 11, 2024",Kansas City Royals,3,Los Angeles Angels,9
"Saturday, May 11, 2024",Arizona D'Backs,4,Baltimore Orioles,5
"Saturday, May 11, 2024",Washington Nationals,2,Boston Red Sox,4
"Saturday, May 11, 2024",Cleveland Guardians,1,Chicago White Sox,3
"Saturday, May 11, 2024",Texas Rangers,3,Colorado Rockies,8
"Saturday, May 11, 2024",Houston Astros,2,Detroit Tigers,8
"Saturday, May 11, 2024",Philadelphia Phillies,8,Miami Marlins,3
"Saturday, May 11, 2024",St. Louis Cardinals,3,Milwaukee Brewers,5
"Saturday, May 11, 2024",Atlanta Braves,4,New York Mets,1
"Saturday, May 11, 2024",Chicago Cubs,9,Pittsburgh Pirates,10
"Saturday, May 11, 2024",Los Angeles Dodgers,5,San Diego Padres,0
"Saturday, May 11, 2024",Oakland Athletics,8,Seattle Mariners,1
"Saturday, May 11, 2024",Cincinnati Reds,1,San Francisco Giants,5
"Saturday, May 11, 2024",New York Yankees,2,Tampa Bay Rays,7
"Saturday, May 11, 2024",Minnesota Twins,8,Toronto Blue Jays,10
"Sunday, May 12, 2024",Kansas City Royals,4,Los Angeles Angels,2
"Sunday, May 12, 2024",Arizona D'Backs,9,Baltimore Orioles,2
"Sunday, May 12, 2024",Washington Nationals,2,Boston Red Sox,3
"Sunday, May 12, 2024",Cleveland Guardians,7,Chicago White Sox,0
"Sunday, May 12, 2024",Texas Rangers,1,Colorado Rockies,3
"Sunday, May 12, 2024",Houston Astros,9,Detroit Tigers,3
"Sunday, May 12, 2024",Philadelphia Phillies,6,Miami Marlins,7
"Sunday, May 12, 2024",St. Louis Cardinals,4,Milwaukee Brewers,3
"Sunday, May 12, 2024",Atlanta Braves,3,New York Mets,4
"Sunday, May 12, 2024",Chicago Cubs,5,Pittsburgh Pirates,4
"Sunday, May 12, 2024",Los Angeles Dodgers,0,San Diego Padres,4
"Sunday, May 12, 2024",Oakland Athletics,4,Seattle Mariners,8
"Sunday, May 12, 2024",Cincinnati Reds,5,San Francisco Giants,6
"Sunday, May 12, 2024",New York Yankees,10,Tampa Bay Rays,6
"Sunday, May 12, 2024",Minnesota Twins,5,Toronto Blue Jays,1
"Monday, May 13, 2024",St. Louis Cardinals,10,Los Angeles Angels,5
"Monday, May 13, 2024",Cincinnati Reds,5,Arizona D'Backs,6
"Monday, May 13, 2024",Chicago Cubs,0,Atlanta Braves,2
"Monday, May 13, 2024",Toronto Blue Jays,3,Baltimore Orioles,2
"Monday, May 13, 2024",Tampa Bay Rays,5,Boston Red Sox,3
"Monday, May 13, 2024",Miami Marlins,5,Detroit Tigers,6
"Monday, May 13, 2024",Oakland Athletics,2,Houston Astros,9
"Monday, May 13, 2024",Pittsburgh Pirates,8,Milwaukee Brewers,6
"Monday, May 13, 2024",Philadelphia Phillies,5,New York Mets,4
"Monday, May 13, 2024",Colorado Rockies,5,San Diego Padres,4
"Monday, May 13, 2024",Kansas City Royals,2,Seattle Mariners,6
"Monday, May 13, 2024",Los Angeles Dodgers,6,San Francisco Giants,4
"Monday, May 13, 2024",Cleveland Guardians,7,Texas Rangers,0
"Tuesday, May 14, 2024",St. Louis Cardinals,7,Los Angeles Angels,6
"Tuesday, May 14, 2024",Cincinnati Reds,6,Arizona D'Backs,2
"Tuesday, May 14, 2024",Chicago Cubs,0,Atlanta Braves,7
"Tuesday, May 14, 2024",Tampa Bay Rays,4,Boston Red Sox,5
"Tuesday, May 14, 2024",Washington Nationals,6,Chicago White Sox,3
"Tuesday, May 14, 2024",Washington Nationals,0,Chicago White Sox,4
"Tuesday, May 14, 2024",Miami Marlins,1,Detroit Tigers,0
"Tuesday, May 14, 2024",Oakland Athletics,1,Houston Astros,2
"Tuesday, May 14, 2024",Pittsburgh Pirates,3,Milwaukee Brewers,4
"Tuesday, May 14, 2024",New York Yankees,5,Minnesota Twins,1
"Tuesday, May 14, 2024",Philadelphia Phillies,4,New York Mets,0
"Tuesday, May 14, 2024",Colorado Rockies,6,San Diego Padres,3
"Tuesday, May 14, 2024",Kansas City Royals,4,Seattle Mariners,2
"Tuesday, May 14, 2024",Los Angeles Dodgers,10,San Francisco Giants,2
"Tuesday, May 14, 2024",Cleveland Guardians,7,Texas Rangers,4
"Wednesday, May 15, 2024",St. Louis Cardinals,2,Los Angeles Angels,7
"Wednesday, May 15, 2024",Cincinnati Reds,1,Arizona D'Backs,2
"Wednesday, May 15, 2024",Chicago Cubs,7,Atlanta Braves,1
"Wednesday, May 15, 2024",Toronto Blue Jays,2,Baltimore Orioles,3
"Wednesday, May 15, 2024",Tampa Bay Rays,4,Boston Red Sox,3
"Wednesday, May 15, 2024",Washington Nationals,0,Chicago White Sox,2
"Wednesday, May 15, 2024",Miami Marlins,2,Detroit Tigers,0
"Wednesday, May 15, 2024",Oakland Athletics,0,Houston Astros,3
"Wednesday, May 15, 2024",Pittsburgh Pirates,2,Milwaukee Brewers,10
"Wednesday, May 15, 2024",New York Yankees,4,Minnesota Twins,0
"Wednesday, May 15, 2024",New York Mets,5,Philadelphia Phillies,10
"Wednesday, May 15, 2024",Colorado Rockies,8,San Diego Padres,0
"Wednesday, May 15, 2024",Kansas City Royals,2,Seattle Mariners,4
"Wednesday, May 15, 2024",Los Angeles Dodgers,1,San Francisco Giants,4
"Wednesday, May 15, 2024",Cleveland Guardians,0,Texas Rangers,4
"Thursday, May 16, 2024",Tampa Bay Rays,7,Boston Red Sox,5
"Thursday, May 16, 2024",Pittsburgh Pirates,5,Chicago Cubs,4
"Thursday, May 16, 2024",Oakland Athletics,1,Houston Astros,8
"Thursday, May 16, 2024",Cincinnati Reds,7,Los Angeles Dodgers,2
"Thursday, May 16, 2024",New York Yankees,5,Minnesota Twins,0
"Thursday, May 16, 2024",New York Mets,6,Philadelphia Phillies,5
"Friday, May 17, 2024",Detroit Tigers,13,Arizona D'Backs,0
"Friday, May 17, 2024",San Diego Padres,3,Atlanta Braves,1
"Friday, May 17, 2024",Seattle Mariners,2,Baltimore Orioles,9
"Friday, May 17, 2024",Pittsburgh Pirates,9,Chicago Cubs,3
"Friday, May 17, 2024",Minnesota Twins,2,Cleveland Guardians,3
"Friday, May 17, 2024",Milwaukee Brewers,4,Houston Astros,5
"Friday, May 17, 2024",Oakland Athletics,2,Kansas City Royals,6
"Friday, May 17, 2024",Cincinnati Reds,3,Los Angeles Dodgers,7
"Friday, May 17, 2024",New York Mets,0,Miami Marlins,8
"Friday, May 17, 2024",Chicago White Sox,2,New York Yankees,4
"Friday, May 17, 2024",Washington Nationals,2,Philadelphia Phillies,4
"Friday, May 17, 2024",Colorado Rockies,5,San Francisco Giants,10
"Friday, May 17, 2024",Boston Red Sox,6,St. Louis Cardinals,10
"Friday, May 17, 2024",Los Angeles Angels,9,Texas Rangers,3
"Friday, May 17, 2024",Tampa Bay Rays,4,Toronto Blue Jays,3
"Saturday, May 18, 2024",Detroit Tigers,8,Arizona D'Backs,3
"Saturday, May 18, 2024",Seattle Mariners,4,Baltimore Orioles,3
"Saturday, May 18, 2024",Pittsburgh Pirates,0,Chicago Cubs,1
"Saturday, May 18, 2024",Minnesota Twins,4,Cleveland Guardians,11
"Saturday, May 18, 2024",Milwaukee Brewers,4,Houston Astros,2
"Saturday, May 18, 2024",Oakland Athletics,3,Kansas City Royals,5
"Saturday, May 18, 2024",Cincinnati Reds,0,Los Angeles Dodgers,4
"Saturday, May 18, 2024",New York Mets,9,Miami Marlins,10
"Saturday, May 18, 2024",Chicago White Sox,1,New York Yankees,6
"Saturday, May 18, 2024",Washington Nationals,3,Philadelphia Phillies,4
"Saturday, May 18, 2024",Colorado Rockies,4,San Francisco Giants,14
"Saturday, May 18, 2024",Boston Red Sox,2,St. Louis Cardinals,7
"Saturday, May 18, 2024",Los Angeles Angels,2,Texas Rangers,3
"Saturday, May 18, 2024",Tampa Bay Rays,5,Toronto Blue Jays,4
"Sunday, May 19, 2024",Detroit Tigers,4,Arizona D'Backs,6
"Sunday, May 19, 2024",San Diego Padres,9,Atlanta Braves,1
"Sunday, May 19, 2024",Seattle Mariners,3,Baltimore Orioles,6
"Sunday, May 19, 2024",Pittsburgh Pirates,3,Chicago Cubs,2
"Sunday, May 19, 2024",Minnesota Twins,2,Cleveland Guardians,5
"Sunday, May 19, 2024",Milwaukee Brewers,4,Houston Astros,9
"Sunday, May 19, 2024",Oakland Athletics,4,Kansas City Royals,8
"Sunday, May 19, 2024",Cincinnati Reds,2,Los Angeles Dodgers,3
"Sunday, May 19, 2024",New York Mets,7,Miami Marlins,3
"Sunday, May 19, 2024",Chicago White Sox,2,New York Yankees,7
"Sunday, May 19, 2024",Washington Nationals,5,Philadelphia Phillies,11
"Sunday, May 19, 2024",Colorado Rockies,1,San Francisco Giants,4
"Sunday, May 19, 2024",Boston Red Sox,11,St. Louis Cardinals,3
"Sunday, May 19, 2024",Los Angeles Angels,4,Texas Rangers,1
"Sunday, May 19, 2024",Tampa Bay Rays,2,Toronto Blue Jays,5
"Monday, May 20, 2024",San Diego Padres,6,Atlanta Braves,5
"Monday, May 20, 2024",San Diego Padres,0,Atlanta Braves,3
"Monday, May 20, 2024",New York Mets,1,Cleveland Guardians,3
"Monday, May 20, 2024",Los Angeles Angels,9,Houston Astros,7
"Monday, May 20, 2024",Detroit Tigers,3,Kansas City Royals,8
"Monday, May 20, 2024",Arizona D'Backs,4,Los Angeles Dodgers,6
"Monday, May 20, 2024",Milwaukee Brewers,2,Miami Marlins,3
"Monday, May 20, 2024",Seattle Mariners,5,New York Yankees,4
"Monday, May 20, 2024",Baltimore Orioles,3,St. Louis Cardinals,6
"Monday, May 20, 2024",Boston Red Sox,5,Tampa Bay Rays,0
"Monday, May 20, 2024",Chicago White Sox,3,Toronto Blue Jays,9
"Monday, May 20, 2024",Minnesota Twins,3,Washington Nationals,12
"Tuesday, May 21, 2024",Atlanta Braves,3,Chicago Cubs,4
"Tuesday, May 21, 2024",San Diego Padres,0,Cincinnati Reds,2
"Tuesday, May 21, 2024",New York Mets,6,Cleveland Guardians,7
"Tuesday, May 21, 2024",Los Angeles Angels,5,Houston Astros,6
"Tuesday, May 21, 2024",Detroit Tigers,3,Kansas City Royals,10
"Tuesday, May 21, 2024",Arizona D'Backs,7,Los Angeles Dodgers,3
"Tuesday, May 21, 2024",Milwaukee Brewers,7,Miami Marlins,5
"Tuesday, May 21, 2024",Seattle Mariners,6,New York Yankees,3
"Tuesday, May 21, 2024",Colorado Rockies,4,Oakland Athletics,5
"Tuesday, May 21, 2024",Texas Rangers,2,Philadelphia Phillies,5
"Tuesday, May 21, 2024",San Francisco Giants,6,Pittsburgh Pirates,7
"Tuesday, May 21, 2024",Baltimore Orioles,1,St. Louis Cardinals,3
"Tuesday, May 21, 2024",Boston Red Sox,5,Tampa Bay Rays,2
"Tuesday, May 21, 2024",Chicago White Sox,5,Toronto Blue Jays,0
"Tuesday, May 21, 2024",Minnesota Twins,10,Washington Nationals,0
"Wednesday, May 22, 2024",Atlanta Braves,9,Chicago Cubs,2
"Wednesday, May 22, 2024",San Diego Padres,7,Cincinnati Reds,3
"Wednesday, May 22, 2024",New York Mets,3,Cleveland Guardians,6
"Wednesday, May 22, 2024",Los Angeles Angels,2,Houston Astros,1
"Wednesday, May 22, 2024",Detroit Tigers,3,Kansas City Royals,8
"Wednesday, May 22, 2024",Arizona D'Backs,6,Los Angeles Dodgers,0
"Wednesday, May 22, 2024",Milwaukee Brewers,0,Miami Marlins,1
"Wednesday, May 22, 2024",Seattle Mariners,3,New York Yankees,7
"Wednesday, May 22, 2024",Colorado Rockies,4,Oakland Athletics,3
"Wednesday, May 22, 2024",Texas Rangers,4,Philadelphia Phillies,11
"Wednesday, May 22, 2024",San Francisco Giants,9,Pittsburgh Pirates,5
"Wednesday, May 22, 2024",Baltimore Orioles,4,St. Louis Cardinals,5
"Wednesday, May 22, 2024",Boston Red Sox,8,Tampa Bay Rays,5
"Wednesday, May 22, 2024",Chicago White Sox,2,Toronto Blue Jays,9
"Wednesday, May 22, 2024",Minnesota Twins,3,Washington Nationals,2
"Thursday, May 23, 2024",Baltimore Orioles,8,Chicago White Sox,6
"Thursday, May 23, 2024",Atlanta Braves,3,Chicago Cubs,0
"Thursday, May 23, 2024",San Diego Padres,6,Cincinnati Reds,4
"Thursday, May 23, 2024",Toronto Blue Jays,9,Detroit Tigers,1
"Thursday, May 23, 2024",Seattle Mariners,0,New York Yankees,5
"Thursday, May 23, 2024",Colorado Rockies,9,Oakland Athletics,10
"Thursday, May 23, 2024",Texas Rangers,2,Philadelphia Phillies,5
"Thursday, May 23, 2024",San Francisco Giants,7,Pittsburgh Pirates,6
"Friday, May 24, 2024",Cleveland Guardians,10,Los Angeles Angels,4
"Friday, May 24, 2024",Miami Marlins,3,Arizona D'Backs,0
"Friday, May 24, 2024",Milwaukee Brewers,7,Boston Red Sox,2
"Friday, May 24, 2024",Baltimore Orioles,6,Chicago White Sox,4
"Friday, May 24, 2024",Los Angeles Dodgers,6,Cincinnati Reds,9
"Friday, May 24, 2024",Philadelphia Phillies,2,Colorado Rockies,3
"Friday, May 24, 2024",Toronto Blue Jays,2,Detroit Tigers,6
"Friday, May 24, 2024",Texas Rangers,2,Minnesota Twins,3
"Friday, May 24, 2024",San Francisco Giants,8,New York Mets,7
"Friday, May 24, 2024",Houston Astros,6,Oakland Athletics,3
